Date,Opponent,GF,GA,Result,OT,Home
2023-09-15,Eatery Wings,1,8,L,0,1
2023-09-22,Misfits,5,8,L,0,0
2023-09-30,Havana Outlaws,2,4,L,0,1
2023-10-21,Speedy Bandits,3,1,W,0,0
2023-11-03,Misfits,3,2,W,1,0
2023-11-05,Eatery Wings,5,4,W,1,1
2023-11-11,Benders R Us,4,1,W,0,0
2023-11-16,Ravens,5,2,W,0,1
2023-11-22,Hornets,9,3,W,0,0
2023-12-01,West Coast Express,8,2,W,0,0
2023-12-06,Smoking Aces,4,7,L,0,1
2023-12-14,Speedy Bandits,4,2,W,0,1
2023-12-17,Benders R Us,8,5,W,0,0
2024-01-06,Hornets,2,3,L,0,0
2024-01-11,West Coast Express,8,9,L,1,1
2024-01-15,Benders R Us,7,8,L,0,0
2024-01-24,Ravens,3,5,L,0,0
2024-01-30,Scallywags,8,1,W,0,1
2024-02-05,Smoking Aces,7,0,W,0,1
2024-02-13,Speedy Bandits,4,3,W,0,0
2024-02-24,Hornets,3,7,L,0,0
2024-03-04,West Coast Express,1,2,L,1,1
2024-03-11,Benders R Us,7,6,W,0,0
2024-03-17,Ravens,6,2,W,0,0
